Time,value
00:00:00,63.53333333333333
00:01:00,53.23333333333333
00:02:00,49.88333333333333
00:03:00,44.3
00:04:00,44.016666666666666
00:05:00,49.23333333333333
00:06:00,47.13333333333333
00:07:00,51.06666666666667
00:08:00,47.91666666666666
00:09:00,47.75
00:10:00,48.46666666666667
00:11:00,49.21666666666667
00:12:00,51.3
00:13:00,50.05
00:14:00,44.55
00:15:00,45.016666666666666
00:16:00,46.333333333333336
00:17:00,44.68333333333333
00:18:00,46.78333333333333
00:19:00,44.833333333333336
00:20:00,42.38333333333333
00:21:00,43.41666666666666
00:22:00,67.05
00:23:00,65.15
00:24:00,65.7
00:25:00,64.85
00:26:00,56.91666666666666
00:27:00,38.333333333333336
00:28:00,38.55
00:29:00,39.083333333333336
00:30:00,44.35
00:31:00,44.31666666666667
00:32:00,41.55
00:33:00,210.03333333333333
00:34:00,413.4333333333333
00:35:00,414.1
00:36:00,417.6666666666667
00:37:00,428.3
00:38:00,392.78333333333336
00:39:00,433.1833333333333
00:40:00,391.1666666666667
00:41:00,398.8666666666667
00:42:00,390.23333333333335
00:43:00,423.25
00:44:00,348.8
00:45:00,365.8666666666667
00:46:00,358.46666666666664
00:47:00,423.1666666666667
00:48:00,288.76666666666665
00:49:00,34.9
00:50:00,907.35
00:51:00,1143.35
00:52:00,39.45
00:53:00,42.03333333333333
00:54:00,46.15
00:55:00,44.35
00:56:00,43.11666666666667
00:57:00,41.88333333333333
00:58:00,47.55
00:59:00,48.38333333333333
01:00:00,56.3
01:01:00,54.016666666666666
01:02:00,58.516666666666666
01:03:00,51.16666666666666
01:04:00,50.31666666666667
01:05:00,51.766666666666666
01:06:00,51.66666666666666
01:07:00,54.8
01:08:00,54.1
01:09:00,51.4
01:10:00,51.31666666666667
01:11:00,85.9
01:12:00,92.63333333333334
01:13:00,54.65
01:14:00,52.43333333333333
01:15:00,51.16666666666666
01:16:00,51.2
01:17:00,48.66666666666666
01:18:00,44.63333333333333
01:19:00,43.7
01:20:00,48.13333333333333
01:21:00,56.516666666666666
